id_chunk,sumber,id_organ,id_bagian,nama_bagian,jenis_konten,aspek,status_validasi,judul,teks
C51,pengetahuan_asisten,1,4,Ventrikel Kiri,asisten,gangguan,tervalidasi,Ventrikel Kiri (gangguan),Tekanan darah tinggi yang lama membuat dinding ventrikel kiri menebal (hipertrofi).
C52,pengetahuan_asisten,1,4,Ventrikel Kiri,asisten,ringkas,tervalidasi,Ventrikel Kiri (ringkas),Ventrikel kiri adalah pompa terkuat: satu tekanannya harus sampai ke ujung jari kaki.
C53,pengetahuan_asisten,1,5,Aorta,asisten,fungsi,tervalidasi,Aorta (fungsi),Aorta menyalurkan darah kaya oksigen dari ventrikel kiri ke seluruh cabang tubuh.
C54,pengetahuan_asisten,1,5,Aorta,asisten,letak,tervalidasi,Aorta (letak),"Keluar dari ventrikel kiri, melengkung di atas jantung, lalu turun di depan tulang belakang."
C55,pengetahuan_asisten,1,5,Aorta,asisten,gangguan,tervalidasi,Aorta (gangguan),Pelebaran dinding aorta (aneurisma) termasuk gangguan yang berbahaya.
C56,pengetahuan_asisten,1,5,Aorta,asisten,ringkas,tervalidasi,Aorta (ringkas),Aorta ibarat jalan tol utama peredaran darah sebelum bercabang ke jalan-jalan kecil.
C57,pengetahuan_asisten,1,6,Katup Mitral,asisten,fungsi,tervalidasi,Katup Mitral (fungsi),Katup mitral mencegah darah kembali ke atrium kiri ketika ventrikel kiri berkontraksi.
C58,pengetahuan_asisten,1,6,Katup Mitral,asisten,letak,tervalidasi,Katup Mitral (letak),Terletak di antara atrium kiri dan ventrikel kiri.
C59,pengetahuan_asisten,1,6,Katup Mitral,asisten,gangguan,tervalidasi,Katup Mitral (gangguan),"Jika katup bocor (regurgitasi), sebagian darah berbalik arah dan jantung bekerja lebih berat."
C60,pengetahuan_asisten,1,6,Katup Mitral,asisten,ringkas,tervalidasi,Katup Mitral (ringkas),Katup mitral bekerja seperti pintu satu arah di dalam jantung.
C61,pengetahuan_asisten,2,7,Trakea,asisten,fungsi,tervalidasi,Trakea (fungsi),Trakea mengalirkan udara dari tenggorokan ke bronkus sambil menyaring debu dengan lendir dan silia.
C62,pengetahuan_asisten,2,7,Trakea,asisten,letak,tervalidasi,Trakea (letak),"Di depan kerongkongan, memanjang dari bawah laring sampai bercabang di rongga dada."
C63,pengetahuan_asisten,2,7,Trakea,asisten,gangguan,tervalidasi,Trakea (gangguan),Radang trakea (trakeitis) membuat batuk kering dan suara serak.
C64,pengetahuan_asisten,2,7,Trakea,asisten,ringkas,tervalidasi,Trakea (ringkas),Trakea adalah pipa udara utama yang diperkuat cincin tulang rawan supaya tidak kempis.
C65,pengetahuan_asisten,2,8,Bronkus Utama,asisten,fungsi,tervalidasi,Bronkus Utama (fungsi),"Bronkus membagi udara dari trakea ke paru kanan dan kiri, lalu bercabang terus menjadi bronkiolus."
C66,pengetahuan_asisten,2,8,Bronkus Utama,asisten,letak,tervalidasi,Bronkus Utama (letak),"Percabangannya (karina) berada di rongga dada, kira-kira sejajar tulang dada bagian atas."
C67,pengetahuan_asisten,2,8,Bronkus Utama,asisten,gangguan,tervalidasi,Bronkus Utama (gangguan),Bronkitis adalah radang bronkus yang membuat lendir berlebih dan napas berbunyi.
C68,pengetahuan_asisten,2,8,Bronkus Utama,asisten,ringkas,tervalidasi,Bronkus Utama (ringkas),Bronkus seperti dua cabang besar pohon terbalik yang memasok udara ke seluruh paru.
C69,pengetahuan_asisten,2,9,Paru-paru Kanan,asisten,fungsi,tervalidasi,Paru-paru Kanan (fungsi),Paru-paru kanan menampung udara dan menukar oksigen dengan karbon dioksida di tiga lobusnya.
C70,pengetahuan_asisten,2,9,Paru-paru Kanan,asisten,letak,tervalidasi,Paru-paru Kanan (letak),"Sisi kanan rongga dada, sedikit lebih tinggi karena hati mendorong diafragma dari bawah."
C71,pengetahuan_asisten,2,9,Paru-paru Kanan,asisten,gangguan,tervalidasi,Paru-paru Kanan (gangguan),Pneumonia sering menyerang lobus bawah karena cairan mudah mengumpul di sana.
C72,pengetahuan_asisten,2,9,Paru-paru Kanan,asisten,ringkas,tervalidasi,Paru-paru Kanan (ringkas),"Paru kanan sedikit lebih besar dan punya tiga lobus, paru kiri hanya dua."
C73,pengetahuan_asisten,2,10,Paru-paru Kiri,asisten,fungsi,tervalidasi,Paru-paru Kiri (fungsi),"Paru-paru kiri menukar gas seperti paru kanan, dengan dua lobus yang berbagi ruang dengan jantung."
C74,pengetahuan_asisten,2,10,Paru-paru Kiri,asisten,letak,tervalidasi,Paru-paru Kiri (letak),"Sisi kiri rongga dada, dengan lekukan di sisi dalam tempat jantung bersandar."
C75,pengetahuan_asisten,2,10,Paru-paru Kiri,asisten,gangguan,tervalidasi,Paru-paru Kiri (gangguan),"Efusi pleura, penumpukan cairan di selaput paru, bisa membuat napas terasa pendek."
C76,pengetahuan_asisten,2,10,Paru-paru Kiri,asisten,ringkas,tervalidasi,Paru-paru Kiri (ringkas),Paru kiri lebih kecil karena harus berbagi tempat dengan jantung.
C77,pengetahuan_asisten,2,11,Lobus Bawah Paru Kanan,asisten,fungsi,tervalidasi,Lobus Bawah Paru Kanan (fungsi),Lobus bawah paru kanan menyumbang porsi terbesar pertukaran gas saat bernapas dalam.
C78,pengetahuan_asisten,2,11,Lobus Bawah Paru Kanan,asisten,letak,tervalidasi,Lobus Bawah Paru Kanan (letak),"Bagian paling bawah paru kanan, duduk di atas diafragma."
C79,pengetahuan_asisten,2,11,Lobus Bawah Paru Kanan,asisten,gangguan,tervalidasi,Lobus Bawah Paru Kanan (gangguan),Bagian ini paling sering terkena pneumonia karena letaknya di dasar paru.
C80,pengetahuan_asisten,2,11,Lobus Bawah Paru Kanan,asisten,ringkas,tervalidasi,Lobus Bawah Paru Kanan (ringkas),Lobus bawah paling banyak mengembang saat kita menarik napas dalam-dalam.
C81,pengetahuan_asisten,2,12,Alveolus,asisten,fungsi,tervalidasi,Alveolus (fungsi),Alveolus adalah tempat sebenarnya oksigen masuk ke darah dan karbon dioksida keluar.
C82,pengetahuan_asisten,2,12,Alveolus,asisten,letak,tervalidasi,Alveolus (letak),"Di ujung bronkiolus, tersebar di seluruh jaringan paru seperti tandan anggur."
C83,pengetahuan_asisten,2,12,Alveolus,asisten,gangguan,tervalidasi,Alveolus (gangguan),"Pada emfisema, dinding alveolus rusak sehingga luas pertukaran gas berkurang."
C84,pengetahuan_asisten,2,12,Alveolus,asisten,ringkas,tervalidasi,Alveolus (ringkas),"Alveolus jumlahnya ratusan juta, dengan luas total hampir seluas lapangan tenis."
