id_chunk,sistem_organ,nama_bagian,sumber,aspek,level,panjang_kata,ada_angka,teks_bersih,teks_kb
C11,Sistem Pernapasan,Trakea,fakta_bagian,fakta,dasar,17,1,panjang: 10 sampai 12 cm. penguat: 16 sampai 20 cincin tulang rawan. bermula dari: laring kotak suara,trakea (fakta). panjang: 10 sampai 12 cm. penguat: 16 sampai 20 cincin tulang rawan. bermula dari: laring kotak suara
C12,Sistem Pernapasan,Bronkus Utama,fakta_bagian,fakta,dasar,19,1,"titik cabang: karina, di ujung bawah trakea. jumlah: 2 bronkus: kanan dan kiri. bercabang menjadi: bronkiolus yang makin halus","bronkus utama (fakta). titik cabang: karina, di ujung bawah trakea. jumlah: 2 bronkus: kanan dan kiri. bercabang menjadi: bronkiolus yang makin halus"
C13,Sistem Pernapasan,Paru-paru Kanan,fakta_bagian,fakta,dasar,16,1,"jumlah lobus: 3 atas, tengah, bawah. ukuran: lebih besar dari paru kiri. pembungkus: dua lapis pleura","paru-paru kanan (fakta). jumlah lobus: 3 atas, tengah, bawah. ukuran: lebih besar dari paru kiri. pembungkus: dua lapis pleura"
C14,Sistem Pernapasan,Paru-paru Kiri,fakta_bagian,fakta,dasar,18,1,"jumlah lobus: 2 atas dan bawah. ciri khas: lekukan jantung cardiac notch. ukuran: lebih kecil, memberi ruang jantung","paru-paru kiri (fakta). jumlah lobus: 2 atas dan bawah. ciri khas: lekukan jantung cardiac notch. ukuran: lebih kecil, memberi ruang jantung"
C15,Sistem Pernapasan,Lobus Bawah Paru Kanan,fakta_bagian,fakta,dasar,15,0,posisi: bagian paling bawah paru kanan. pembatas: fisura oblik dari lobus tengah. menempel pada: diafragma,lobus bawah paru kanan (fakta). posisi: bagian paling bawah paru kanan. pembatas: fisura oblik dari lobus tengah. menempel pada: diafragma
C16,Sistem Pernapasan,Alveolus,fakta_bagian,fakta,dasar,17,1,jumlah: 300 sampai 500 juta. tebal dinding: setebal satu sel. fungsi: tempat pertukaran oksigen dan karbon dioksida,alveolus (fakta). jumlah: 300 sampai 500 juta. tebal dinding: setebal satu sel. fungsi: tempat pertukaran oksigen dan karbon dioksida
C17,Sistem Peredaran Darah,Atrium Kanan,konten_label,penjelasan,dasar,25,0,"ruang jantung kanan atas yang menerima darah miskin oksigen dari seluruh tubuh melalui vena cava superior dan vena cava inferior, lalu mengalirkannya ke ventrikel kanan.","atrium kanan (penjelasan). ruang jantung kanan atas yang menerima darah miskin oksigen dari seluruh tubuh melalui vena cava superior dan vena cava inferior, lalu mengalirkannya ke ventrikel kanan."
C18,Sistem Peredaran Darah,Atrium Kanan,konten_label,penjelasan,lanjutan,37,1,"dinding atrium kanan hanya setebal sekitar 2 mm karena cukup mendorong darah sejauh satu ruang. di dindingnya terdapat nodus sinoatrial sa node, pemacu alami jantung yang memicu 60 sampai 100 denyut per menit tanpa perintah dari otak.","atrium kanan (penjelasan). dinding atrium kanan hanya setebal sekitar 2 mm karena cukup mendorong darah sejauh satu ruang. di dindingnya terdapat nodus sinoatrial sa node, pemacu alami jantung yang memicu 60 sampai 100 denyut per menit tanpa perintah dari otak."
C19,Sistem Peredaran Darah,Atrium Kiri,konten_label,penjelasan,dasar,23,0,"ruang jantung kiri atas yang menerima darah kaya oksigen dari paru-paru melalui empat vena pulmonalis, kemudian meneruskannya ke ventrikel kiri lewat katup mitral.","atrium kiri (penjelasan). ruang jantung kiri atas yang menerima darah kaya oksigen dari paru-paru melalui empat vena pulmonalis, kemudian meneruskannya ke ventrikel kiri lewat katup mitral."
C21,Sistem Peredaran Darah,Ventrikel Kanan,konten_label,penjelasan,dasar,20,0,ruang pompa kanan bawah yang mendorong darah miskin oksigen menuju paru-paru melalui arteri pulmonalis untuk mengambil oksigen peredaran darah kecil.,ventrikel kanan (penjelasan). ruang pompa kanan bawah yang mendorong darah miskin oksigen menuju paru-paru melalui arteri pulmonalis untuk mengambil oksigen peredaran darah kecil.
C22,Sistem Peredaran Darah,Ventrikel Kiri,konten_label,penjelasan,dasar,25,0,ruang pompa kiri bawah yang memompa darah kaya oksigen ke seluruh tubuh melalui aorta. dindingnya paling tebal di antara empat ruang jantung peredaran darah besar.,ventrikel kiri (penjelasan). ruang pompa kiri bawah yang memompa darah kaya oksigen ke seluruh tubuh melalui aorta. dindingnya paling tebal di antara empat ruang jantung peredaran darah besar.
C23,Sistem Peredaran Darah,Ventrikel Kiri,konten_label,penjelasan,lanjutan,39,1,"tebal dinding ventrikel kiri 8 sampai 15 mm, kira-kira tiga kali ventrikel kanan. sebabnya, ia harus melawan tekanan sistemik sekitar 120 mmhg untuk mengedarkan darah sampai ujung jari kaki, sementara ventrikel kanan hanya melawan sekitar 25 mmhg menuju paru-paru.","ventrikel kiri (penjelasan). tebal dinding ventrikel kiri 8 sampai 15 mm, kira-kira tiga kali ventrikel kanan. sebabnya, ia harus melawan tekanan sistemik sekitar 120 mmhg untuk mengedarkan darah sampai ujung jari kaki, sementara ventrikel kanan hanya melawan sekitar 25 mmhg menuju paru-paru."
C24,Sistem Peredaran Darah,Aorta,konten_label,penjelasan,dasar,28,0,"pembuluh arteri terbesar dalam tubuh. aorta membawa darah kaya oksigen keluar dari ventrikel kiri, melengkung membentuk arkus aorta, lalu bercabang ke kepala, lengan, dan seluruh tubuh bagian bawah.","aorta (penjelasan). pembuluh arteri terbesar dalam tubuh. aorta membawa darah kaya oksigen keluar dari ventrikel kiri, melengkung membentuk arkus aorta, lalu bercabang ke kepala, lengan, dan seluruh tubuh bagian bawah."
C25,Sistem Peredaran Darah,Aorta,konten_label,penjelasan,lanjutan,39,1,"diameter aorta orang dewasa sekitar 2,5 sampai 3,5 cm. dindingnya kaya serat elastin sehingga meregang saat jantung memompa sistol dan memantul balik saat jantung mengisi diastol. pantulan inilah yang membuat aliran darah tetap mengalir walau jantung sedang tidak berkontraksi.","aorta (penjelasan). diameter aorta orang dewasa sekitar 2,5 sampai 3,5 cm. dindingnya kaya serat elastin sehingga meregang saat jantung memompa sistol dan memantul balik saat jantung mengisi diastol. pantulan inilah yang membuat aliran darah tetap mengalir walau jantung sedang tidak berkontraksi."
C27,Sistem Pernapasan,Trakea,konten_label,penjelasan,dasar,27,1,saluran udara utama berbentuk tabung sepanjang 10 sampai 12 cm dari laring ke rongga dada. dindingnya diperkuat cincin tulang rawan agar tidak kempis saat kita menarik napas.,trakea (penjelasan). saluran udara utama berbentuk tabung sepanjang 10 sampai 12 cm dari laring ke rongga dada. dindingnya diperkuat cincin tulang rawan agar tidak kempis saat kita menarik napas.
C28,Sistem Pernapasan,Trakea,konten_label,penjelasan,lanjutan,41,0,"cincin tulang rawan trakea berbentuk huruf c dengan sisi belakang terbuka yang berhadapan dengan kerongkongan, sehingga kerongkongan leluasa melebar saat menelan. lapisan dalam trakea dipenuhi sel bersilia yang terus menyapu lendir beserta debu ke atas menuju tenggorokan untuk ditelan atau dibatukkan.","trakea (penjelasan). cincin tulang rawan trakea berbentuk huruf c dengan sisi belakang terbuka yang berhadapan dengan kerongkongan, sehingga kerongkongan leluasa melebar saat menelan. lapisan dalam trakea dipenuhi sel bersilia yang terus menyapu lendir beserta debu ke atas menuju tenggorokan untuk ditelan atau dibatukkan."
C29,Sistem Pernapasan,Bronkus Utama,konten_label,penjelasan,dasar,26,0,percabangan trakea menjadi bronkus kanan dan bronkus kiri pada titik yang disebut karina. masing-masing masuk ke paru-paru dan bercabang lagi berkali-kali menjadi bronkiolus yang semakin halus.,bronkus utama (penjelasan). percabangan trakea menjadi bronkus kanan dan bronkus kiri pada titik yang disebut karina. masing-masing masuk ke paru-paru dan bercabang lagi berkali-kali menjadi bronkiolus yang semakin halus.
C31,Sistem Pernapasan,Paru-paru Kanan,konten_label,penjelasan,dasar,27,0,"paru-paru kanan terdiri dari tiga lobus: atas, tengah, dan bawah. ukurannya sedikit lebih besar dan lebih pendek daripada paru-paru kiri karena hati mendesak diafragma di sisi kanan.","paru-paru kanan (penjelasan). paru-paru kanan terdiri dari tiga lobus: atas, tengah, dan bawah. ukurannya sedikit lebih besar dan lebih pendek daripada paru-paru kiri karena hati mendesak diafragma di sisi kanan."
C32,Sistem Pernapasan,Paru-paru Kanan,konten_label,penjelasan,lanjutan,39,0,"setiap paru dibungkus dua lapis selaput pleura dengan lapisan cairan sangat tipis di antaranya. cairan ini membuat paru bisa mengembang dan mengempis ribuan kali sehari tanpa bergesekan dengan dinding dada. bila ruang ini terisi udara, paru bisa mengempis pneumotoraks.","paru-paru kanan (penjelasan). setiap paru dibungkus dua lapis selaput pleura dengan lapisan cairan sangat tipis di antaranya. cairan ini membuat paru bisa mengembang dan mengempis ribuan kali sehari tanpa bergesekan dengan dinding dada. bila ruang ini terisi udara, paru bisa mengempis pneumotoraks."
C33,Sistem Pernapasan,Paru-paru Kiri,konten_label,penjelasan,dasar,29,0,"paru-paru kiri hanya memiliki dua lobus, atas dan bawah. di sisi dalamnya terdapat lekukan cardiac notch yang memberi ruang bagi jantung, sehingga paru kiri lebih kecil daripada paru kanan.","paru-paru kiri (penjelasan). paru-paru kiri hanya memiliki dua lobus, atas dan bawah. di sisi dalamnya terdapat lekukan cardiac notch yang memberi ruang bagi jantung, sehingga paru kiri lebih kecil daripada paru kanan."
C34,Sistem Pernapasan,Lobus Bawah Paru Kanan,konten_label,penjelasan,dasar,27,0,"lobus terbesar pada paru-paru kanan, dipisahkan dari lobus tengah oleh fisura oblik. bagian bawahnya duduk di atas diafragma, otot lebar yang bergerak turun saat kita menarik napas.","lobus bawah paru kanan (penjelasan). lobus terbesar pada paru-paru kanan, dipisahkan dari lobus tengah oleh fisura oblik. bagian bawahnya duduk di atas diafragma, otot lebar yang bergerak turun saat kita menarik napas."
C35,Sistem Pernapasan,Alveolus,konten_label,penjelasan,dasar,26,0,"kantong udara mikroskopis berbentuk seperti buah anggur di ujung bronkiolus. di dindingnya yang sangat tipis, oksigen berpindah ke darah kapiler dan karbon dioksida keluar untuk dihembuskan.","alveolus (penjelasan). kantong udara mikroskopis berbentuk seperti buah anggur di ujung bronkiolus. di dindingnya yang sangat tipis, oksigen berpindah ke darah kapiler dan karbon dioksida keluar untuk dihembuskan."
C36,Sistem Pernapasan,Alveolus,konten_label,penjelasan,lanjutan,35,1,"jumlah alveolus orang dewasa sekitar 300 sampai 500 juta, dengan luas permukaan total sekitar 70 meter persegi, hampir seluas lapangan tenis. luas yang besar itulah yang memungkinkan pertukaran gas berlangsung cepat dalam sekali tarikan napas.","alveolus (penjelasan). jumlah alveolus orang dewasa sekitar 300 sampai 500 juta, dengan luas permukaan total sekitar 70 meter persegi, hampir seluas lapangan tenis. luas yang besar itulah yang memungkinkan pertukaran gas berlangsung cepat dalam sekali tarikan napas."
C37,Sistem Peredaran Darah,Atrium Kanan,pengetahuan_asisten,fungsi,dasar,16,0,"atrium kanan bertugas menampung darah kotor yang pulang dari seluruh tubuh, lalu meneruskannya ke ventrikel kanan.","atrium kanan (fungsi). atrium kanan bertugas menampung darah kotor yang pulang dari seluruh tubuh, lalu meneruskannya ke ventrikel kanan."
C38,Sistem Peredaran Darah,Atrium Kanan,pengetahuan_asisten,letak,dasar,15,0,"letaknya di bagian kanan atas jantung, persis di ujung masuknya vena cava superior dan inferior.","atrium kanan (letak). letaknya di bagian kanan atas jantung, persis di ujung masuknya vena cava superior dan inferior."
C39,Sistem Peredaran Darah,Atrium Kanan,pengetahuan_asisten,gangguan,dasar,16,0,"gangguan yang sering dibahas adalah aritmia, karena nodus sa pemacu jantung berada di dinding atrium kanan.","atrium kanan (gangguan). gangguan yang sering dibahas adalah aritmia, karena nodus sa pemacu jantung berada di dinding atrium kanan."
C40,Sistem Peredaran Darah,Atrium Kanan,pengetahuan_asisten,ringkas,dasar,12,0,anggap atrium kanan sebagai ruang tunggu darah kotor sebelum dipompa ke paru-paru.,atrium kanan (ringkas). anggap atrium kanan sebagai ruang tunggu darah kotor sebelum dipompa ke paru-paru.
C41,Sistem Peredaran Darah,Atrium Kiri,pengetahuan_asisten,fungsi,dasar,12,0,atrium kiri menerima darah bersih dari paru-paru dan meneruskannya ke ventrikel kiri.,atrium kiri (fungsi). atrium kiri menerima darah bersih dari paru-paru dan meneruskannya ke ventrikel kiri.
C42,Sistem Peredaran Darah,Atrium Kiri,pengetahuan_asisten,letak,dasar,13,0,berada di kiri atas jantung dan merupakan ruang jantung yang posisinya paling belakang.,atrium kiri (letak). berada di kiri atas jantung dan merupakan ruang jantung yang posisinya paling belakang.
C43,Sistem Peredaran Darah,Atrium Kiri,pengetahuan_asisten,gangguan,dasar,13,0,"pada penyakit katup mitral, atrium kiri bisa membesar karena darah tertahan di dalamnya.","atrium kiri (gangguan). pada penyakit katup mitral, atrium kiri bisa membesar karena darah tertahan di dalamnya."
C44,Sistem Peredaran Darah,Atrium Kiri,pengetahuan_asisten,ringkas,dasar,15,0,atrium kiri adalah pintu masuk darah kaya oksigen yang baru selesai diisi ulang di paru-paru.,atrium kiri (ringkas). atrium kiri adalah pintu masuk darah kaya oksigen yang baru selesai diisi ulang di paru-paru.
C45,Sistem Peredaran Darah,Ventrikel Kanan,pengetahuan_asisten,fungsi,dasar,11,0,ventrikel kanan memompa darah miskin oksigen ke paru-paru melalui arteri pulmonalis.,ventrikel kanan (fungsi). ventrikel kanan memompa darah miskin oksigen ke paru-paru melalui arteri pulmonalis.
C46,Sistem Peredaran Darah,Ventrikel Kanan,pengetahuan_asisten,letak,dasar,9,0,"menempati bagian depan-bawah jantung, tepat di belakang tulang dada.","ventrikel kanan (letak). menempati bagian depan-bawah jantung, tepat di belakang tulang dada."
C47,Sistem Peredaran Darah,Ventrikel Kanan,pengetahuan_asisten,gangguan,dasar,11,0,"kalau tekanan di paru-paru tinggi, ventrikel kanan bisa menebal dan melemah.","ventrikel kanan (gangguan). kalau tekanan di paru-paru tinggi, ventrikel kanan bisa menebal dan melemah."
C48,Sistem Peredaran Darah,Ventrikel Kanan,pengetahuan_asisten,ringkas,dasar,10,0,ventrikel kanan adalah pompa jarak dekat: tujuannya hanya sampai paru-paru.,ventrikel kanan (ringkas). ventrikel kanan adalah pompa jarak dekat: tujuannya hanya sampai paru-paru.
C49,Sistem Peredaran Darah,Ventrikel Kiri,pengetahuan_asisten,fungsi,dasar,11,0,ventrikel kiri memompa darah kaya oksigen ke seluruh tubuh lewat aorta.,ventrikel kiri (fungsi). ventrikel kiri memompa darah kaya oksigen ke seluruh tubuh lewat aorta.
C50,Sistem Peredaran Darah,Ventrikel Kiri,pengetahuan_asisten,letak,dasar,11,0,berada di kiri bawah jantung dan membentuk ujung runcing jantung apeks.,ventrikel kiri (letak). berada di kiri bawah jantung dan membentuk ujung runcing jantung apeks.
C51,Sistem Peredaran Darah,Ventrikel Kiri,pengetahuan_asisten,gangguan,dasar,11,0,tekanan darah tinggi yang lama membuat dinding ventrikel kiri menebal hipertrofi.,ventrikel kiri (gangguan). tekanan darah tinggi yang lama membuat dinding ventrikel kiri menebal hipertrofi.
C52,Sistem Peredaran Darah,Ventrikel Kiri,pengetahuan_asisten,ringkas,dasar,13,0,ventrikel kiri adalah pompa terkuat: satu tekanannya harus sampai ke ujung jari kaki.,ventrikel kiri (ringkas). ventrikel kiri adalah pompa terkuat: satu tekanannya harus sampai ke ujung jari kaki.
C53,Sistem Peredaran Darah,Aorta,pengetahuan_asisten,fungsi,dasar,12,0,aorta menyalurkan darah kaya oksigen dari ventrikel kiri ke seluruh cabang tubuh.,aorta (fungsi). aorta menyalurkan darah kaya oksigen dari ventrikel kiri ke seluruh cabang tubuh.
C54,Sistem Peredaran Darah,Aorta,pengetahuan_asisten,letak,dasar,14,0,"keluar dari ventrikel kiri, melengkung di atas jantung, lalu turun di depan tulang belakang.","aorta (letak). keluar dari ventrikel kiri, melengkung di atas jantung, lalu turun di depan tulang belakang."
C55,Sistem Peredaran Darah,Aorta,pengetahuan_asisten,gangguan,dasar,8,0,pelebaran dinding aorta aneurisma termasuk gangguan yang berbahaya.,aorta (gangguan). pelebaran dinding aorta aneurisma termasuk gangguan yang berbahaya.
C56,Sistem Peredaran Darah,Aorta,pengetahuan_asisten,ringkas,dasar,12,0,aorta ibarat jalan tol utama peredaran darah sebelum bercabang ke jalan-jalan kecil.,aorta (ringkas). aorta ibarat jalan tol utama peredaran darah sebelum bercabang ke jalan-jalan kecil.
C57,Sistem Peredaran Darah,Katup Mitral,pengetahuan_asisten,fungsi,dasar,12,0,katup mitral mencegah darah kembali ke atrium kiri ketika ventrikel kiri berkontraksi.,katup mitral (fungsi). katup mitral mencegah darah kembali ke atrium kiri ketika ventrikel kiri berkontraksi.
C58,Sistem Peredaran Darah,Katup Mitral,pengetahuan_asisten,letak,dasar,8,0,terletak di antara atrium kiri dan ventrikel kiri.,katup mitral (letak). terletak di antara atrium kiri dan ventrikel kiri.
C59,Sistem Peredaran Darah,Katup Mitral,pengetahuan_asisten,gangguan,dasar,13,0,"jika katup bocor regurgitasi, sebagian darah berbalik arah dan jantung bekerja lebih berat.","katup mitral (gangguan). jika katup bocor regurgitasi, sebagian darah berbalik arah dan jantung bekerja lebih berat."
C60,Sistem Peredaran Darah,Katup Mitral,pengetahuan_asisten,ringkas,dasar,10,0,katup mitral bekerja seperti pintu satu arah di dalam jantung.,katup mitral (ringkas). katup mitral bekerja seperti pintu satu arah di dalam jantung.
C61,Sistem Pernapasan,Trakea,pengetahuan_asisten,fungsi,dasar,14,0,trakea mengalirkan udara dari tenggorokan ke bronkus sambil menyaring debu dengan lendir dan silia.,trakea (fungsi). trakea mengalirkan udara dari tenggorokan ke bronkus sambil menyaring debu dengan lendir dan silia.
C62,Sistem Pernapasan,Trakea,pengetahuan_asisten,letak,dasar,12,0,"di depan kerongkongan, memanjang dari bawah laring sampai bercabang di rongga dada.","trakea (letak). di depan kerongkongan, memanjang dari bawah laring sampai bercabang di rongga dada."
C63,Sistem Pernapasan,Trakea,pengetahuan_asisten,gangguan,dasar,9,0,radang trakea trakeitis membuat batuk kering dan suara serak.,trakea (gangguan). radang trakea trakeitis membuat batuk kering dan suara serak.
C64,Sistem Pernapasan,Trakea,pengetahuan_asisten,ringkas,dasar,13,0,trakea adalah pipa udara utama yang diperkuat cincin tulang rawan supaya tidak kempis.,trakea (ringkas). trakea adalah pipa udara utama yang diperkuat cincin tulang rawan supaya tidak kempis.
C65,Sistem Pernapasan,Bronkus Utama,pengetahuan_asisten,fungsi,dasar,15,0,"bronkus membagi udara dari trakea ke paru kanan dan kiri, lalu bercabang terus menjadi bronkiolus.","bronkus utama (fungsi). bronkus membagi udara dari trakea ke paru kanan dan kiri, lalu bercabang terus menjadi bronkiolus."
C66,Sistem Pernapasan,Bronkus Utama,pengetahuan_asisten,letak,dasar,12,0,"percabangannya karina berada di rongga dada, kira-kira sejajar tulang dada bagian atas.","bronkus utama (letak). percabangannya karina berada di rongga dada, kira-kira sejajar tulang dada bagian atas."
C67,Sistem Pernapasan,Bronkus Utama,pengetahuan_asisten,gangguan,dasar,11,0,bronkitis adalah radang bronkus yang membuat lendir berlebih dan napas berbunyi.,bronkus utama (gangguan). bronkitis adalah radang bronkus yang membuat lendir berlebih dan napas berbunyi.
C68,Sistem Pernapasan,Bronkus Utama,pengetahuan_asisten,ringkas,dasar,13,0,bronkus seperti dua cabang besar pohon terbalik yang memasok udara ke seluruh paru.,bronkus utama (ringkas). bronkus seperti dua cabang besar pohon terbalik yang memasok udara ke seluruh paru.
C69,Sistem Pernapasan,Paru-paru Kanan,pengetahuan_asisten,fungsi,dasar,13,0,paru-paru kanan menampung udara dan menukar oksigen dengan karbon dioksida di tiga lobusnya.,paru-paru kanan (fungsi). paru-paru kanan menampung udara dan menukar oksigen dengan karbon dioksida di tiga lobusnya.
C70,Sistem Pernapasan,Paru-paru Kanan,pengetahuan_asisten,letak,dasar,13,0,"sisi kanan rongga dada, sedikit lebih tinggi karena hati mendorong diafragma dari bawah.","paru-paru kanan (letak). sisi kanan rongga dada, sedikit lebih tinggi karena hati mendorong diafragma dari bawah."
C71,Sistem Pernapasan,Paru-paru Kanan,pengetahuan_asisten,gangguan,dasar,11,0,pneumonia sering menyerang lobus bawah karena cairan mudah mengumpul di sana.,paru-paru kanan (gangguan). pneumonia sering menyerang lobus bawah karena cairan mudah mengumpul di sana.
C72,Sistem Pernapasan,Paru-paru Kanan,pengetahuan_asisten,ringkas,dasar,13,0,"paru kanan sedikit lebih besar dan punya tiga lobus, paru kiri hanya dua.","paru-paru kanan (ringkas). paru kanan sedikit lebih besar dan punya tiga lobus, paru kiri hanya dua."
C73,Sistem Pernapasan,Paru-paru Kiri,pengetahuan_asisten,fungsi,dasar,15,0,"paru-paru kiri menukar gas seperti paru kanan, dengan dua lobus yang berbagi ruang dengan jantung.","paru-paru kiri (fungsi). paru-paru kiri menukar gas seperti paru kanan, dengan dua lobus yang berbagi ruang dengan jantung."
C74,Sistem Pernapasan,Paru-paru Kiri,pengetahuan_asisten,letak,dasar,12,0,"sisi kiri rongga dada, dengan lekukan di sisi dalam tempat jantung bersandar.","paru-paru kiri (letak). sisi kiri rongga dada, dengan lekukan di sisi dalam tempat jantung bersandar."
C75,Sistem Pernapasan,Paru-paru Kiri,pengetahuan_asisten,gangguan,dasar,12,0,"efusi pleura, penumpukan cairan di selaput paru, bisa membuat napas terasa pendek.","paru-paru kiri (gangguan). efusi pleura, penumpukan cairan di selaput paru, bisa membuat napas terasa pendek."
C76,Sistem Pernapasan,Paru-paru Kiri,pengetahuan_asisten,ringkas,dasar,10,0,paru kiri lebih kecil karena harus berbagi tempat dengan jantung.,paru-paru kiri (ringkas). paru kiri lebih kecil karena harus berbagi tempat dengan jantung.
C77,Sistem Pernapasan,Lobus Bawah Paru Kanan,pengetahuan_asisten,fungsi,dasar,12,0,lobus bawah paru kanan menyumbang porsi terbesar pertukaran gas saat bernapas dalam.,lobus bawah paru kanan (fungsi). lobus bawah paru kanan menyumbang porsi terbesar pertukaran gas saat bernapas dalam.
C78,Sistem Pernapasan,Lobus Bawah Paru Kanan,pengetahuan_asisten,letak,dasar,9,0,"bagian paling bawah paru kanan, duduk di atas diafragma.","lobus bawah paru kanan (letak). bagian paling bawah paru kanan, duduk di atas diafragma."
C79,Sistem Pernapasan,Lobus Bawah Paru Kanan,pengetahuan_asisten,gangguan,dasar,11,0,bagian ini paling sering terkena pneumonia karena letaknya di dasar paru.,lobus bawah paru kanan (gangguan). bagian ini paling sering terkena pneumonia karena letaknya di dasar paru.
C80,Sistem Pernapasan,Lobus Bawah Paru Kanan,pengetahuan_asisten,ringkas,dasar,10,0,lobus bawah paling banyak mengembang saat kita menarik napas dalam-dalam.,lobus bawah paru kanan (ringkas). lobus bawah paling banyak mengembang saat kita menarik napas dalam-dalam.
C81,Sistem Pernapasan,Alveolus,pengetahuan_asisten,fungsi,dasar,12,0,alveolus adalah tempat sebenarnya oksigen masuk ke darah dan karbon dioksida keluar.,alveolus (fungsi). alveolus adalah tempat sebenarnya oksigen masuk ke darah dan karbon dioksida keluar.
C82,Sistem Pernapasan,Alveolus,pengetahuan_asisten,letak,dasar,11,0,"di ujung bronkiolus, tersebar di seluruh jaringan paru seperti tandan anggur.","alveolus (letak). di ujung bronkiolus, tersebar di seluruh jaringan paru seperti tandan anggur."
C83,Sistem Pernapasan,Alveolus,pengetahuan_asisten,gangguan,dasar,10,0,"pada emfisema, dinding alveolus rusak sehingga luas pertukaran gas berkurang.","alveolus (gangguan). pada emfisema, dinding alveolus rusak sehingga luas pertukaran gas berkurang."
